name,distance,time,elevation_gain,moving_time,average_heartrate,max_heartrate
Wallet fell out mid run,7.9671568249,2024-08-10T15:04:27Z,54,3987,142.4,163
Afternoon Run,2.1293141428,2024-08-09T21:16:24Z,12,1103,143.5,164
Running to portillos,2.0527612356,2024-08-09T20:44:19Z,6,1058,124.1,147
Forgot to pack earbuds. Running like a monk,7.1739767434,2024-08-08T11:33:27Z,18,3347,149.8,163
Windy city cruising,7.068095125,2024-08-07T11:17:07Z,39,3212,153.9,171
There should be a Roosevelt Island race,5.3280699137,2024-08-06T00:49:08Z,29,2689,144.7,162
Sunday long run,11.6276533859,2024-08-04T13:32:19Z,153,5367,155,176
Heatwave summer streets run,6.6647010718,2024-08-03T15:26:18Z,51,3309,145.5,166
50 min treadmill,6.2048243947,2024-08-02T20:55:41Z,0,3045,137.8,156
The Give Up Quarter Way route,5.3079996303999994,2024-08-02T00:41:39Z,54,2639,138.9,159
So hot,7.0771050045,2024-07-31T22:40:15Z,84,3661,145.9,164
Track werk,6.7050901868,2024-07-30T22:27:23Z,50,3002,152.5,188
Haven't reached GW bridge in a while,13.126275963700001,2024-07-28T13:29:43Z,43,5723,154.3,182
Summer streets! That time of year again!,6.3366171838,2024-07-27T12:48:44Z,34,3675,125.3,161
Morning speedwork,4.3915395425,2024-07-26T11:56:05Z,18,2022,146.5,175
Warmup,2.1357764012,2024-07-26T11:36:59Z,11,974,148.4,160
Morning Sweat Sesh,5.547724562200001,2024-07-25T11:20:17Z,10,2708,144,163
Steady run,8.722184727,2024-07-24T23:17:59Z,17,3965,149.3,174
Don't feel good. Hopefully I'm not sick!,5.0633658677,2024-07-23T23:22:20Z,60,2500,131.8,154
Ending the weekend with a long run,12.1971399074,2024-07-22T00:08:26Z,151,5547,150.6,168
EZ run with Eric,5.1021394181,2024-07-20T13:53:26Z,32,2958,141.6,156
Meh,8.1470437294,2024-07-19T22:55:42Z,99,3523,154.4,173
Dark n damp,5.7677520333,2024-07-18T10:57:09Z,43,2824,153.5,172
40min TM,5.0439169554,2024-07-16T18:20:18Z,0,2400,131.3,153
1 hour Zone 2,7.0168320175000005,2024-07-16T00:56:47Z,14,3601,146.3,160
Not looking up the weather. Not thinking about my lack of sleep before the run,11.406880269599998,2024-07-14T11:37:55Z,36,5064,138.2,169
40 min tm,4.9392159419,2024-07-13T19:30:00Z,0,2405,140,159
Run 2 wine bar. SO sweaty,5.6634859795,2024-07-12T22:00:18Z,50,2728,148.5,169
Morning Run,4.9008152141000005,2024-07-11T13:35:14Z,13,2169,153.3,177
Legs felt good,8.1538166733,2024-07-10T23:53:06Z,97,3618,160.9,190
91% humidity ☁️,6.4636254162,2024-07-09T11:54:06Z,23,2840,148.9,167
Posterior Chain Prehab Circuit,0,2024-07-08T21:14:25Z,0,439,,
40 ✅,8.3064253909,2024-07-07T11:46:19Z,111,3621,154.1,173
45min treadmill,5.617566662600001,2024-07-06T17:14:17Z,0,2706,148.3,167
Sweating out beers,5.251206321,2024-07-05T15:28:39Z,15,2489,146.5,164
July 4th Long Run 🇺🇲,11.1767244512,2024-07-04T12:48:05Z,143,5284,158.4,179
Afternoon Run,2.7312362305,2024-07-02T21:23:54Z,8,1198,141.1,163
Morning Run,6.9431374169,2024-07-01T11:52:32Z,19,3126,151.4,171
Struggle lr with eric,10.008546971200001,2024-06-30T13:29:59Z,141,4960,156.8,184
No escaping the humidity,5.4271785882,2024-06-29T17:06:48Z,23,2503,159.2,175
40 min tm,4.9046055772,2024-06-28T13:28:37Z,0,2400,147.3,162
So hawt,5.6011003311000005,2024-06-27T11:59:57Z,39,2519,162.1,183
Humid 3arly morning,5.0723757472,2024-06-26T11:11:39Z,28,2473,161.2,174
Windy is better than hot,8.1134896954,2024-06-24T21:38:29Z,87,3486,147.5,172
Too hot 🥵,3.5258454653,2024-06-21T21:31:52Z,13,1605,160,179
Evening Run,4.3402142979,2024-06-21T00:46:13Z,8,2163,158.5,168
Afternoon Hike,2.141244466,2024-06-16T21:47:49Z,225,2661,121.3,167
Hour Z3,8.3719800314,2024-06-11T21:26:28Z,20,3679,150.7,167
New sunglasses got me looking like PC Principal,7.116997022700001,2024-06-10T22:18:58Z,87,3551,145.6,165
Legs feel dead for no reason,2.0701596236,2024-06-09T16:27:04Z,4,1031,136.4,150
Showing Eric the newest westside pier,6.6261760698,2024-06-08T13:52:12Z,21,3542,141.2,164
Meat sweats,6.752438657,2024-06-07T12:19:33Z,32,3166,152.5,176
Sweating out my Celsius drink,6.208739032,2024-06-06T13:08:22Z,48,2939,154.9,176
Hot but vibey. Lots of runners out here,3.8807104434,2024-06-05T23:04:27Z,17,1851,155.9,172
Warmdown,2.7076862696000004,2024-06-04T00:08:49Z,4,1188,164.4,185
Too hot felt lightheaded lol,3.385229208,2024-06-03T23:43:32Z,3,1286,163.8,189
40 mpw ✅,10.3542777956,2024-06-02T13:38:39Z,137,4798,152.7,172
Tm35,4.2287403405,2024-06-01T19:55:13Z,0,2101,129.9,157
Joined the central park dark side 🚲,5.3623695928999995,2024-06-01T15:22:01Z,67,1870,102.3,145
Afternoon Run w Eric,5.6457147689,2024-05-31T21:00:57Z,68,3165,139,159
Easier easy runs,6.762567004299999,2024-05-30T22:34:11Z,12,3575,144.2,164
Evening Run,1.4147374928,2024-05-29T23:23:07Z,19,827,153.4,169
Office worker Olympics,3.5461021598999998,2024-05-29T22:45:56Z,52,1313,172.1,189
Warmup jpmcc,1.3854709186999998,2024-05-29T22:16:33Z,24,803,124.2,161
Morning sweat sesh,7.0068900815,2024-05-28T11:30:52Z,63,3181,158.8,174
Morning Weight Training,0,2024-05-27T12:33:24Z,0,3094,87,155
Impromptu run meetup with Eric,11.3009986512,2024-05-26T12:38:39Z,123,5294,152.4,170
Active recovery,2.3176516929,2024-05-25T13:45:48Z,11,1249,133.5,148
suffering,4.3213867566,2024-05-24T11:12:27Z,27,1932,146.4,172
Track Workout warmup,2.7280051013,2024-05-24T10:42:29Z,13,1366,138.6,154
Afternoon Run,4.260740947,2024-05-23T21:31:33Z,9,2215,135.6,153
Sweltering post work run,6.9725282652,2024-05-22T21:33:43Z,17,3313,150,170
♨️🌡️🥞,8.2679003889,2024-05-21T21:55:12Z,93,3930,156,169
Movement is lotion,1.4294018484000002,2024-05-19T22:44:08Z,4,789,131.4,145
Jogging over to watch the Knicks game,1.8075061019,2024-05-19T19:43:39Z,16,1016,142.2,158
BK half,13.238247017900001,2024-05-18T11:02:04Z,82,5318,160.3,184
30 min shakeout 🧂,3.3741688042,2024-05-17T13:10:32Z,12,1580,151.9,171
So rainy,3.9805647631000003,2024-05-15T22:56:33Z,12,1857,142.1,159
Resy run with Eric,7.6834388263,2024-05-14T22:00:55Z,91,4086,147.9,169
Race week!,4.5532202767,2024-05-13T21:30:57Z,17,2409,146.4,161
Breezy and easy 45 minutes,5.2431906351,2024-05-12T23:12:26Z,17,2730,150.6,161
Wd,2.0525748243,2024-05-11T15:56:43Z,6,994,154.2,169
